TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR+PC/LWAL+CDL/H:1,1,1.1,1.1
CR+PC/LWAL+CDL/H:2,2,0.5,1
CR+PC/LWAL+CDN/H:1,1,1.1,1.1
CR+PC/LWAL+CDN/H:2,2,0.5,1
CR/LFINF+CDL/H:1,1,1.1,1.1
CR/LFINF+CDL/H:2,2,0.5,1
CR/LFINF+CDH/H:1,1,1.1,1.1
CR/LFINF+CDH/H:2,2,0.5,1
CR/LFINF+CDN/H:1,1,1.1,1.1
CR/LFINF+CDN/H:2,2,0.5,1
MCF/LWAL+CDL/H:1,1,1.1,1.1
MCF/LWAL+CDL/H:2,2,0.5,1
MUR+ADO/LWAL+CDN/H:1,1,1.1,1.1
MUR+CL/LWAL+CDN/H:1,1,1.1,1.1
MUR+ST/LWAL+CDN/H:1,1,1.1,1.1
W/LFM+CDL/H:1,1,1.1,1.1
W/LFM+CDH/H:1,1,1.1,1.1
W/LFM+CDN/H:1,1,1.1,1.1
CR+PC/LWAL+CDH/H:1,1,1.1,1.1
CR+PC/LWAL+CDH/H:2,2,0.5,1
CR+PC/LWAL+CDL/HBET:3-5,5,5,25
CR+PC/LWAL+CDL/HBET:6-,8,5,40
CR+PC/LWAL+CDH/HBET:3-5,5,5,25
CR+PC/LWAL+CDH/HBET:6-,8,5,40
CR+PC/LWAL+CDN/HBET:3-5,5,5,25
CR+PC/LWAL+CDN/HBET:6-,8,5,40
CR/LDUAL+CDL/HBET:6-,8,5,40
CR/LDUAL+CDH/HBET:6-,8,5,40
CR/LFINF+CDL/HBET:3-5,5,5,25
CR/LFINF+CDL/HBET:6-,8,5,40
CR/LFINF+CDH/HBET:3-5,5,5,25
CR/LFINF+CDH/HBET:6-,8,5,40
CR/LFINF+CDN/HBET:3-5,5,5,25
CR/LFINF+CDN/HBET:6-,8,5,40
MCF/LWAL+CDL/HBET:3-5,5,5,25
MUR+CL/LWAL+CDN/H:2,2,0.5,1
MUR+CL/LWAL+CDN/HBET:3-5,5,5,25
MUR+ST/LWAL+CDN/H:2,2,0.5,1
MUR+ST/LWAL+CDN/HBET:3-5,5,5,25
W/LFM+CDL/H:2,2,0.5,1
W/LFM+CDL/HBET:3-5,5,5,25
W/LFM+CDH/H:2,2,0.5,1
W/LFM+CDH/HBET:3-5,5,5,25
W/LFM+CDN/H:2,2,0.5,1
W/LFM+CDN/HBET:3-5,5,5,25
