ID,Region,POPULATION
MDA.10_1,Mun. Chisinau,469402
MDA.2_1,Mun. Balti,102457
MDA.1_1,Anenii Noi,78996
MDA.3_1,Basarabeasca,23012
MDA.5_1,Briceni,70029
MDA.6_1,Cahul,105324
MDA.8_1,Cantemir,52115
MDA.7_1,Calarasi,64401
MDA.9_1,Causeni,81185
MDA.11_1,Cimislia,49299
MDA.12_1,Criuleni,70648
MDA.13_1,Donduseni,37856
MDA.14_1,Drochia,74443
MDA.15_1,Dubasari,29271
MDA.16_1,Edinet,71849
MDA.17_1,Falesti,78258
MDA.18_1,Floresti,76457
MDA.20_1,Glodeni,51306
MDA.21_1,Hincesti,103784
MDA.22_1,Ialoveni,93154
MDA.23_1,Leova,44702
MDA.24_1,Nisporeni,53154
MDA.25_1,Ocnita,47425
MDA.26_1,Orhei,101502
MDA.27_1,Rezina,42486
MDA.28_1,Riscani,59226
MDA.29_1,Singerei,79814
MDA.31_1,Soroca,77656
MDA.33_1,Straseni,82675
MDA.30_1,soldanesti,36743
MDA.32_1,stefan Voda,62072
MDA.34_1,Taraclia,37357
MDA.35_1,Telenesti,61144
MDA.37_1,Ungheni,101064
MDA.19_1,U.T.A. Gagauzia,134535
